Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu196,0.134207285914927,0,0.103091560138358,0.0745662469469723,0,0.270799579953906,0,0,0,0,0.124267386499703,0,0.0570938500472871,0,0,0.103134743392162,0,0.028418446019122,0,0.0559810087926519,0.0484398922949103,0,0.998,-0.114367590974724,1.13999830582607
wu197,0.155105027362557,0,0,0.0325611263411614,0,0.049704176373687,0.0294059047547992,0,0.0377061075387919,0,0.12063186511651,0,0.0471677118781127,0,0,0.168342368769093,0.00512728386234779,0.201179283752192,0.109262600810836,0,0.0438065434399121,0,0.972,-0.0489393152080286,1.1024174459791
wu198,0.239622281899369,0,0.0478799301259875,0,0.0344739261034489,0.0156462746736604,0,0.055340861448192,0.0809282907876405,0,0.00321815801396221,0.0653275341533555,0.0575550421563459,0.186792081274824,0,0.138104458853862,0,0.0228584283005953,0.0283694633107162,0,0.0238832688980403,0,0.944,-0.0342090608811006,1.11983885090816
wu199,0.235282304769816,0,0.0531157195193476,0,0.0654059601419687,0.180139507656252,0.116998684786031,0,0,0,0.0902369900002228,0,0.0335721558297291,0.0322761467273847,0,0.0454990768223152,0,0,0.13699098189371,0,0.0104824718532235,0,0.998,-0.0953207040576889,1.12923254578744
wu200,0.145576541057804,0.00527760596469385,0.0473881685701354,0.0961342257583538,0.0696929268506503,0.0510262493657178,0.233012752358078,0,0,0,0.0927755830436882,0,0.0406173508128455,0,0,0.0753668613582458,0,0.0599571813206418,0.0831745535391456,0,0,0,0.392,0.086936995079593,1.04142745313379
wu201,0.146823548195252,0,0,0,0,0.056581888339298,0,0.0591937437623116,0.062912555091645,0,0,0,0.000800165485129447,0,0,0.00405191617336506,0.557498328026285,0,0.0948485953381542,0,0,0.01728925958856,0.444,0.0717319781517524,1.06987521206079
wu202,0.0134103683084159,0,0.00793257014109385,0.0190581380400605,0,0.215193943922888,0,0.0675310539210193,0.0172088012189517,0,0,0,0.0205222799380123,0.331638885707349,0,0.16191864355552,0,0.0733069191093762,0.0722783961373131,0,0,0,0.26,0.108455790956048,1.10248566796716
wu204,0.0647998961760425,0,0.0268838869067424,0.0302398004257217,0.168369442984106,0.157362646801945,0,0,0,0,0.139070041298042,0,0.0624124393329936,0.036770485303139,0,0.131707304834007,0,0.134265964269164,0,0.0286296050255076,0.0194884866425882,0,0.156,0.133448477256599,1.04153080241281
wu205,0.29876693704584,0,0,0.136855293655292,0,0.0596864869055085,0,0,0.0671960630796885,0,0.119856333472943,0.0236378591018035,0.0321022115873743,0.0366149015500167,0,0,0,0.0813967221943509,0.143887191407183,0,0,0,0.998,-0.131315689546402,1.17536529009681
wu206,0.00444351854531022,0.0133310522843395,0.049170561892679,0,0.184819859424463,0.22164250653065,0.0644414113760434,0,0,0.0206094247621449,0.0704117478077954,0,0.000424516519234081,0.101879385206712,0,0.136239646137568,0,0.0691536339477877,0,0.0634327355652728,0,0,0.388,0.0881052410091269,1.06563289736946
